,Agent 1 Rewards,Agent 1 Rate,Agent 1 Test,Agent 2 Rewards,Agent 2 Rate,Agent 2 Test,Agent 3 Rewards,Agent 3 Rate,Agent 3 Test,Agent 4 Rewards,Agent 4 Rate,Agent 4 Test,Agent 5 Rewards,Agent 5 Rate,Agent 5 Test,Agent 6 Rewards,Agent 6 Rate,Agent 6 Test,Agent 7 Rewards,Agent 7 Rate,Agent 7 Test,Agent 8 Rewards,Agent 8 Rate,Agent 8 Test,Agent 9 Rewards,Agent 9 Rate,Agent 9 Test,Agent 10 Rewards,Agent 10 Rate,Agent 10 Test,Agent 11 Rewards,Agent 11 Rate,Agent 11 Test,Agent 12 Rewards,Agent 12 Rate,Agent 12 Test
11,-18.640919999999998,0.06,-16.06171400000025,-18.321399999999993,0.08,-16.80580400000026,-16.440739999999995,0.14,-15.505880000000273,-18.721179999999993,0.06,-15.609758000000244,-17.32097999999999,0.12,-15.94965000000025,-18.481199999999998,0.06,-15.019108000003904,-17.441019999999995,0.12,-15.421628000000227,-18.480999999999998,0.06,-15.657684000000263,-19.9209,0.02,-16.141662000000252,-15.640939999999995,0.16,-16.085792000000275,-17.36077999999999,0.1,-16.549762000000253,-16.520959999999995,0.14,-15.565602000000226
12,-19.480879999999992,0.04,-16.06171400000025,-16.08094,0.14,-16.80580400000026,-18.400839999999995,0.08,-15.505880000000273,-18.360759999999992,0.08,-15.609758000000244,-18.240959999999994,0.08,-15.94965000000025,-17.00116,0.12,-15.019108000003904,-18.521019999999993,0.06,-15.421628000000227,-16.32126,0.14,-15.657684000000263,-19.400599999999994,0.04,-16.141662000000252,-18.600659999999994,0.08,-16.085792000000275,-18.201059999999995,0.08,-16.549762000000253,-18.680999999999994,0.06,-15.565602000000226
13,-18.481219999999997,0.06,-16.06171400000025,-16.041079999999997,0.16,-16.80580400000026,-17.52092,0.1,-15.505880000000273,-16.281200000000002,0.16,-15.609758000000244,-18.48081999999999,0.06,-15.94965000000025,-18.081239999999994,0.08,-15.019108000003904,-19.400859999999994,0.04,-15.421628000000227,-18.760799999999996,0.06,-15.657684000000263,-18.400879999999994,0.08,-16.141662000000252,-18.40093999999999,0.08,-16.085792000000275,-18.56071999999999,0.06,-16.549762000000253,-18.761219999999994,0.06,-15.565602000000226
14,-16.000959999999996,0.16,-16.06171400000025,-17.320759999999996,0.12,-16.80580400000026,-16.281299999999998,0.14,-15.505880000000273,-18.9611,0.06,-15.609758000000244,-19.201179999999997,0.04,-15.94965000000025,-19.041119999999996,0.06,-15.019108000003904,-17.921359999999993,0.08,-15.421628000000227,-18.28127999999999,0.08,-15.657684000000263,-19.12113999999999,0.04,-16.141662000000252,-19.200879999999994,0.04,-16.085792000000275,-17.76121999999999,0.1,-16.549762000000253,-17.521139999999992,0.1,-15.565602000000226
15,-17.361259999999998,0.1,-16.06171400000025,-19.84114,0.02,-16.80580400000026,-19.401139999999998,0.04,-15.505880000000273,-19.400819999999996,0.04,-15.609758000000244,-18.880959999999995,0.06,-15.94965000000025,-18.040959999999988,0.08,-15.019108000003904,-17.84107999999999,0.08,-15.421628000000227,-18.800979999999996,0.06,-15.657684000000263,-17.440879999999993,0.12,-16.141662000000252,-18.640919999999998,0.06,-16.085792000000275,-18.68086,0.06,-16.549762000000253,-18.920479999999998,0.06,-15.565602000000226
16,-16.521019999999996,0.16,-16.06171400000025,-18.48107999999999,0.06,-16.80580400000026,-16.88084,0.12,-15.505880000000273,-16.841099999999994,0.14,-15.609758000000244,-17.920779999999993,0.08,-15.94965000000025,-17.52115999999999,0.08,-15.019108000003904,-18.360839999999993,0.08,-15.421628000000227,-18.80075999999999,0.06,-15.657684000000263,-18.520699999999998,0.06,-16.141662000000252,-18.440839999999994,0.08,-16.085792000000275,-19.680839999999996,0.02,-16.549762000000253,-16.920559999999995,0.14,-15.565602000000226
17,-17.081000000000003,0.12,-16.06171400000025,-17.96113999999999,0.08,-16.80580400000026,-17.921039999999994,0.1,-15.505880000000273,-18.64118,0.06,-15.609758000000244,-17.681019999999997,0.08,-15.94965000000025,-17.401379999999996,0.1,-15.019108000003904,-17.600839999999998,0.1,-15.421628000000227,-15.440499999999995,0.16,-15.657684000000263,-18.801119999999994,0.06,-16.141662000000252,-19.92087999999999,0.02,-16.085792000000275,-18.520439999999994,0.06,-16.549762000000253,-19.120899999999995,0.04,-15.565602000000226
18,-19.44176,0.04,-16.06171400000025,-17.961499999999994,0.1,-16.80580400000026,-18.241099999999996,0.08,-15.505880000000273,-18.201119999999992,0.08,-15.609758000000244,-16.640819999999994,0.14,-15.94965000000025,-17.401099999999992,0.1,-15.019108000003904,-19.000719999999998,0.06,-15.421628000000227,-19.840919999999997,0.02,-15.657684000000263,-17.241379999999996,0.1,-16.141662000000252,-18.920759999999994,0.06,-16.085792000000275,-18.760839999999995,0.06,-16.549762000000253,-18.320779999999996,0.08,-15.565602000000226
19,-13.802159999999999,0.24,-16.06171400000025,-19.24084,0.04,-16.80580400000026,-17.52144,0.1,-15.505880000000273,-19.441279999999995,0.04,-15.609758000000244,-17.961079999999995,0.08,-15.94965000000025,-18.64101999999999,0.06,-15.019108000003904,-17.880939999999995,0.1,-15.421628000000227,-17.241259999999997,0.12,-15.657684000000263,-18.801159999999996,0.06,-16.141662000000252,-18.440779999999997,0.08,-16.085792000000275,-18.641399999999997,0.06,-16.549762000000253,-19.520939999999992,0.04,-15.565602000000226
20,-18.842,0.06,-16.06171400000025,-18.440919999999995,0.08,-16.80580400000026,-18.201899999999995,0.08,-15.505880000000273,-18.121059999999996,0.08,-15.609758000000244,-18.800799999999995,0.06,-15.94965000000025,-18.920679999999994,0.06,-15.019108000003904,-19.200799999999997,0.04,-15.421628000000227,-17.800919999999994,0.1,-15.657684000000263,-16.960799999999995,0.14,-16.141662000000252,-19.401119999999995,0.04,-16.085792000000275,-19.48135999999999,0.04,-16.549762000000253,-17.720939999999995,0.1,-15.565602000000226
